variant,condition,rung,probe_type,n,tp,fp,fn,tn,abstain,parse_fail
BcesvRecon[no_entity],Qwen    s42 C/C,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_entity],Qwen    s42 C/C,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_entity],Qwen    s42 C/C,shared_vector_index,cross_boundary,100,99,0,0,1,1,0
BcesvRecon[no_entity],Qwen    s42 C/C,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_entity],Qwen    s42 C/C,summary_merge,cross_boundary,100,98,0,0,2,2,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,isolated,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,isolated,cross_boundary,100,0,17,0,82,0,1
BcesvRecon[no_logsrc],Qwen    s42 C/C,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,shared_vector_index,cross_boundary,100,99,0,0,1,1,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 C/C,summary_merge,cross_boundary,100,98,0,0,2,2,0
BcesvRecon[no_template],Qwen    s42 C/C,isolated,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 C/C,isolated,cross_boundary,100,0,17,0,82,0,1
BcesvRecon[no_template],Qwen    s42 C/C,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 C/C,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_template],Qwen    s42 C/C,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 C/C,shared_vector_index,cross_boundary,100,99,0,0,1,1,0
BcesvRecon[no_template],Qwen    s42 C/C,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_template],Qwen    s42 C/C,summary_merge,cross_boundary,100,98,0,0,2,2,0
FragmentOnly,Qwen    s42 N/P,isolated,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
FragmentOnly,Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
FragmentOnly,Qwen    s42 N/P,shared_vector_index,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
FragmentOnly,Qwen    s42 N/P,summary_merge,supported,100,0,100,0,0,0,0
FragmentOnly,Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvExact,Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 N/P,isolated,cross_boundary,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvExact,Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvExact,Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvNoisy(10%),Qwen    s42 N/P,isolated,supported,100,0,0,0,100,40,0
BcesvNoisy(10%),Qwen    s42 N/P,isolated,cross_boundary,100,0,0,0,100,7,0
BcesvNoisy(10%),Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,40,0
BcesvNoisy(10%),Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,0,0,100,7,0
BcesvNoisy(10%),Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,40,0
BcesvNoisy(10%),Qwen    s42 N/P,shared_vector_index,cross_boundary,100,80,0,20,0,20,0
BcesvNoisy(10%),Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,41,0
BcesvNoisy(10%),Qwen    s42 N/P,summary_merge,cross_boundary,100,83,0,16,1,16,0
BcesvNoisy(20%),Qwen    s42 N/P,isolated,supported,100,0,0,0,100,69,0
BcesvNoisy(20%),Qwen    s42 N/P,isolated,cross_boundary,100,0,0,0,100,13,0
BcesvNoisy(20%),Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,69,0
BcesvNoisy(20%),Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,0,0,100,13,0
BcesvNoisy(20%),Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,69,0
BcesvNoisy(20%),Qwen    s42 N/P,shared_vector_index,cross_boundary,100,44,0,56,0,56,0
BcesvNoisy(20%),Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,69,0
BcesvNoisy(20%),Qwen    s42 N/P,summary_merge,cross_boundary,100,51,0,48,1,48,0
BcesvNoisy(30%),Qwen    s42 N/P,isolated,supported,100,0,0,0,100,81,0
BcesvNoisy(30%),Qwen    s42 N/P,isolated,cross_boundary,100,0,0,0,100,26,0
BcesvNoisy(30%),Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,81,0
BcesvNoisy(30%),Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,0,0,100,26,0
BcesvNoisy(30%),Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,81,0
BcesvNoisy(30%),Qwen    s42 N/P,shared_vector_index,cross_boundary,100,16,0,84,0,84,0
BcesvNoisy(30%),Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,81,0
BcesvNoisy(30%),Qwen    s42 N/P,summary_merge,cross_boundary,100,27,0,72,1,72,0
BcesvReconstruct,Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
BcesvReconstruct,Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
BcesvReconstruct,Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvReconstruct,Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvReconstruct,Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvReconstruct,Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvReconstruct,Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvReconstruct,Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_tenant],Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvRecon[no_time],Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
BcesvRecon[no_time],Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_time],Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_time],Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_time],Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_time],Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvRecon[no_time],Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_time],Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_entity],Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,isolated,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,boundary_preserving_topk,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,boundary_preserving_topk,cross_boundary,100,0,17,0,83,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,shared_vector_index,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,shared_vector_index,cross_boundary,100,100,0,0,0,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,summary_merge,supported,100,0,0,0,100,0,0
BcesvRecon[no_logsrc],Qwen    s42 N/P,summary_merge,cross_boundary,100,99,0,0,1,0,0
BcesvRecon[no_template],Qwen    s42 N/P,isolated,supported,100,0,0,0,100,0,0
