variant,rung,probe_type,tp,fp,fn,tn,abstain,n_minus_parse,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,abstain_rate,abstain_lo,abstain_hi
BcesvReconstruct,summary_merge,cross_boundary,1184,7,0,9,7,1200,1.0,0.9967660172221068,1.0,0.9941225860621327,0.9879178227043048,0.9971501051877325,0.005833333333333334,0.0028284995479427,0.011991939381093476
BcesvReconstruct,summary_merge,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_tenant],isolated,cross_boundary,0,302,0,854,6,1156,0,0,1,0.0,0.0,0.012560294590230984,0.005190311418685121,0.002380872366830762,0.011277424377278755
BcesvRecon[no_tenant],isolated,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_tenant],boundary_preserving_topk,cross_boundary,0,302,0,856,6,1158,0,0,1,0.0,0.0,0.012560294590230984,0.0051813471502590676,0.002376756686289285,0.011258028593944647
BcesvRecon[no_tenant],boundary_preserving_topk,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_tenant],shared_vector_index,cross_boundary,1194,3,0,3,3,1200,1.0,0.9967930156429249,0.9999999999999999,0.9974937343358395,0.9926572456870139,0.999147285420399,0.0025,0.0008505818993887943,0.0073244637003322816
BcesvRecon[no_tenant],shared_vector_index,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_tenant],summary_merge,cross_boundary,1184,7,0,9,7,1200,1.0,0.9967660172221068,1.0,0.9941225860621327,0.9879178227043048,0.9971501051877325,0.005833333333333334,0.0028284995479427,0.011991939381093476
BcesvRecon[no_tenant],summary_merge,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_time],isolated,cross_boundary,0,302,0,854,6,1156,0,0,1,0.0,0.0,0.012560294590230984,0.005190311418685121,0.002380872366830762,0.011277424377278755
BcesvRecon[no_time],isolated,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_time],boundary_preserving_topk,cross_boundary,0,302,0,856,6,1158,0,0,1,0.0,0.0,0.012560294590230984,0.0051813471502590676,0.002376756686289285,0.011258028593944647
BcesvRecon[no_time],boundary_preserving_topk,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_time],shared_vector_index,cross_boundary,1194,3,0,3,3,1200,1.0,0.9967930156429249,0.9999999999999999,0.9974937343358395,0.9926572456870139,0.999147285420399,0.0025,0.0008505818993887943,0.0073244637003322816
BcesvRecon[no_time],shared_vector_index,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_time],summary_merge,cross_boundary,1184,7,0,9,7,1200,1.0,0.9967660172221068,1.0,0.9941225860621327,0.9879178227043048,0.9971501051877325,0.005833333333333334,0.0028284995479427,0.011991939381093476
BcesvRecon[no_time],summary_merge,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_entity],isolated,cross_boundary,0,302,0,854,6,1156,0,0,1,0.0,0.0,0.012560294590230984,0.005190311418685121,0.002380872366830762,0.011277424377278755
BcesvRecon[no_entity],isolated,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_entity],boundary_preserving_topk,cross_boundary,0,302,0,856,6,1158,0,0,1,0.0,0.0,0.012560294590230984,0.0051813471502590676,0.002376756686289285,0.011258028593944647
BcesvRecon[no_entity],boundary_preserving_topk,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_entity],shared_vector_index,cross_boundary,1194,3,0,3,3,1200,1.0,0.9967930156429249,0.9999999999999999,0.9974937343358395,0.9926572456870139,0.999147285420399,0.0025,0.0008505818993887943,0.0073244637003322816
BcesvRecon[no_entity],shared_vector_index,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvRecon[no_entity],summary_merge,cross_boundary,1184,7,0,9,7,1200,1.0,0.9967660172221068,1.0,0.9941225860621327,0.9879178227043048,0.9971501051877325,0.005833333333333334,0.0028284995479427,0.011991939381093476
BcesvRecon[no_entity],summary_merge,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
